epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,0.009999999776482582,0,,,0.6393285989761353
0,,0,0.7331492304801941,,
1,0.009999999776482582,1,,,0.5541599988937378
1,,1,0.6393285989761353,,
2,0.009999999776482582,2,,,0.47646990418434143
2,,2,0.5541599988937378,,
3,0.009999999776482582,3,,,0.4056568145751953
3,,3,0.47646990418434143,,
4,0.009999999776482582,4,,,0.3414876163005829
4,,4,0.4056568145751953,,
5,0.009999999776482582,5,,,0.2838840186595917
5,,5,0.3414876163005829,,
6,0.009999999776482582,6,,,0.2328399270772934
6,,6,0.2838840186595917,,
7,0.009999999776482582,7,,,0.1883447915315628
7,,7,0.2328399270772934,,
8,0.009999999776482582,8,,,0.15029817819595337
8,,8,0.1883447915315628,,
9,0.009999999776482582,9,,,0.11844229698181152
9,,9,0.15029817819595337,,
10,0.009999999776482582,10,,,0.09233603626489639
10,,10,0.11844229698181152,,
11,0.009999999776482582,11,,,0.0713767558336258
11,,11,0.09233603626489639,,
12,0.009999999776482582,12,,,0.05485778674483299
12,,12,0.0713767558336258,,
13,0.009999999776482582,13,,,0.04203976318240166
13,,13,0.05485778674483299,,
14,0.009999999776482582,14,,,0.032213956117630005
14,,14,0.04203976318240166,,
15,0.009999999776482582,15,,,0.024746743962168694
15,,15,0.032213956117630005,,
16,0.009999999776482582,16,,,0.019101718440651894
16,,16,0.024746745824813843,,
17,0.009999999776482582,17,,,0.014843334443867207
17,,17,0.019101720303297043,,
18,0.009999999776482582,18,,,0.011629320681095123
18,,18,0.014843334443867207,,
19,0.009999999776482582,19,,,0.009196828119456768
19,,19,0.011629320681095123,,
20,0.009999999776482582,20,,,0.0073474980890750885
20,,20,0.009196828119456768,,
21,0.009999999776482582,21,,,0.00593320420011878
21,,21,0.0073474980890750885,,
22,0.009999999776482582,22,,,0.0048440913669764996
22,,22,0.00593320420011878,,
23,0.009999999776482582,23,,,0.003998942207545042
23,,23,0.0048440913669764996,,
24,0.009999999776482582,24,,,0.0033378463704138994
24,,24,0.003998942207545042,,
25,0.009999999776482582,25,,,0.0028163623064756393
25,,25,0.0033378463704138994,,
26,0.009999999776482582,26,,,0.0024015260860323906
26,,26,0.0028163623064756393,,
27,0.009999999776482582,27,,,0.0020687724463641644
27,,27,0.0024015260860323906,,
28,0.009999999776482582,28,,,0.001799585297703743
28,,28,0.0020687724463641644,,
29,0.009999999776482582,29,,,0.0015801525441929698
29,,29,0.001799585297703743,,
30,0.009999999776482582,30,,,0.001399813685566187
30,,30,0.0015801525441929698,,
31,0.009999999776482582,31,,,0.0012504940386861563
31,,31,0.001399813685566187,,
32,0.009999999776482582,32,,,0.001125986105762422
32,,32,0.0012504940386861563,,
33,0.009999999776482582,33,,,0.0010214553913101554
33,,33,0.0011259859893471003,,
34,0.009999999776482582,34,,,0.0009330746834166348
34,,34,0.0010214553913101554,,
35,0.009999999776482582,35,,,0.0008579526911489666
35,,35,0.0009330746834166348,,
36,0.009999999776482582,36,,,0.0007937105256132782
36,,36,0.0008579527493566275,,
37,0.009999999776482582,37,,,0.0007384652271866798
37,,37,0.0007937105256132782,,
38,0.009999999776482582,38,,,0.0006906802882440388
38,,38,0.0007384654018096626,,
39,0.009999999776482582,39,,,0.0006491712410934269
39,,39,0.0006906802882440388,,
40,0.009999999776482582,40,,,0.0006129242246970534
40,,40,0.0006491712410934269,,
41,0.009999999776482582,41,,,0.00058116449508816
41,,41,0.0006129242246970534,,
42,0.009999999776482582,42,,,0.0005531530478037894
42,,42,0.00058116449508816,,
43,0.009999999776482582,43,,,0.0005284459330141544
43,,43,0.0005531530478037894,,
44,0.009999999776482582,44,,,0.0005065012956038117
44,,44,0.0005284459330141544,,
45,0.009999999776482582,45,,,0.0004869465483352542
45,,45,0.0005065012956038117,,
46,0.009999999776482582,46,,,0.0004694894014392048
46,,46,0.0004869465483352542,,
47,0.009999999776482582,47,,,0.0004538106732070446
47,,47,0.0004694894014392048,,
48,0.009999999776482582,48,,,0.00043971845298074186
48,,48,0.00045381064410321414,,
49,,49,,0.00043971845298074186,
49,0.009999999776482582,49,,,0.00042698337347246706
49,,49,0.00043971845298074186,,
50,0.009999999776482582,50,,,0.0004154547059442848
50,,50,0.00042698337347246706,,
51,0.009999999776482582,51,,,0.00040501717012375593
51,,51,0.0004154547059442848,,
52,0.009999999776482582,52,,,0.0003954692219849676
52,,52,0.00040501717012375593,,
53,0.009999999776482582,53,,,0.0003867794293910265
53,,53,0.00039546925108879805,,
54,0.009999999776482582,54,,,0.00037880672607570887
54,,54,0.0003867794293910265,,
55,0.009999999776482582,55,,,0.0003714972117450088
55,,55,0.00037880672607570887,,
56,0.009999999776482582,56,,,0.00036476398236118257
56,,56,0.0003714972117450088,,
57,0.009999999776482582,57,,,0.0003585462982300669
57,,57,0.00036476398236118257,,
58,0.009999999776482582,58,,,0.00035280780866742134
58,,58,0.0003585463564377278,,
59,0.009999999776482582,59,,,0.00034745721495710313
59,,59,0.00035280780866742134,,
60,0.009999999776482582,60,,,0.0003424661699682474
60,,60,0.00034745721495710313,,
61,0.009999999776482582,61,,,0.0003378101100679487
61,,61,0.0003424661699682474,,
62,0.009999999776482582,62,,,0.0003334668872412294
62,,62,0.0003378101100679487,,
63,0.009999999776482582,63,,,0.0003293773625046015
63,,63,0.0003334668872412294,,
64,0.009999999776482582,64,,,0.00032552386983297765
64,,64,0.000329377333400771,,
65,0.009999999776482582,65,,,0.00032189124613069
65,,65,0.00032552386983297765,,
66,0.009999999776482582,66,,,0.0003184655215591192
66,,66,0.00032189124613069,,
67,0.009999999776482582,67,,,0.0003151946875732392
67,,67,0.0003184655215591192,,
68,0.009999999776482582,68,,,0.00031210732413455844
68,,68,0.0003151946875732392,,
69,0.009999999776482582,69,,,0.00030911428621038795
69,,69,0.00031210732413455844,,
70,0.009999999776482582,70,,,0.000306325702695176
70,,70,0.00030911428621038795,,
71,0.009999999776482582,71,,,0.00030361476819962263
71,,71,0.000306325702695176,,
72,0.009999999776482582,72,,,0.00030101375887170434
72,,72,0.00030361476819962263,,
73,0.009999999776482582,73,,,0.00029851641738787293
73,,73,0.00030101375887170434,,
74,0.009999999776482582,74,,,0.000296077283564955
74,,74,0.00029851641738787293,,
75,0.009999999776482582,75,,,0.00029377074679359794
75,,75,0.000296077283564955,,
76,0.009999999776482582,76,,,0.00029151252238079906
76,,76,0.0002937707176897675,,
77,0.009999999776482582,77,,,0.00028929830295965075
77,,77,0.00029151252238079906,,
78,0.009999999776482582,78,,,0.0002872040495276451
78,,78,0.00028929830295965075,,
79,0.009999999776482582,79,,,0.0002851070021279156
79,,79,0.0002872040495276451,,
80,0.009999999776482582,80,,,0.00028312354697845876
80,,80,0.0002851070021279156,,
81,0.009999999776482582,81,,,0.0002811312151607126
81,,81,0.00028312354697845876,,
82,0.009999999776482582,82,,,0.00027922732988372445
82,,82,0.0002811312151607126,,
83,0.009999999776482582,83,,,0.0002773299056570977
83,,83,0.00027922732988372445,,
84,0.009999999776482582,84,,,0.00027549650985747576
84,,84,0.00027732987655326724,,
85,0.009999999776482582,85,,,0.00027368575683794916
85,,85,0.0002754965389613062,,
86,0.009999999776482582,86,,,0.0002718958421610296
86,,86,0.00027368575683794916,,
87,0.009999999776482582,87,,,0.00027016500825993717
87,,87,0.0002718958421610296,,
88,0.009999999776482582,88,,,0.0002684124337974936
88,,88,0.00027016500825993717,,
89,0.009999999776482582,89,,,0.00026671646628528833
89,,89,0.0002684124337974936,,
90,0.009999999776482582,90,,,0.00026503633125685155
90,,90,0.00026671646628528833,,
91,0.009999999776482582,91,,,0.00026341056218370795
91,,91,0.00026503633125685155,,
92,0.009999999776482582,92,,,0.0002617588615976274
92,,92,0.00026341056218370795,,
93,0.009999999776482582,93,,,0.0002601599262561649
93,,93,0.0002617588615976274,,
94,0.009999999776482582,94,,,0.00025857327273115516
94,,94,0.0002601599262561649,,
95,0.009999999776482582,95,,,0.00025699828984215856
95,,95,0.00025857327273115516,,
96,0.009999999776482582,96,,,0.0002554341917857528
96,,96,0.00025699828984215856,,
97,0.009999999776482582,97,,,0.00025392050156369805
97,,97,0.0002554341917857528,,
98,0.009999999776482582,98,,,0.0002523768926039338
98,,98,0.00025392050156369805,,
99,,99,,0.0002523768926039338,
99,0.009999999776482582,99,,,0.00025088267284445465
99,,99,0.0002523768926039338,,
